מספר סידורי,לינק,שם משתמש,תיאור קצר,תאריך פרסום,ז'אנר ויזואלי,סוג הטקס,טכניקת הומור,מושא ההומור,לייקים,צפיות (Plays),תגובות,% לייקים/צפיות,% תגובות/צפיות,מדד מעורבות משוקלל (%)
034,https://www.instagram.com/p/DV5SWvbOQIX/,cassidyscornercafe_longbeach,"תחת ""When the owner is working"" הבעלים עומד בשלווה בידיים משוכלות בעוד העובד עושה את כל העבודה סביבו",15.03.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,416048,12873364,595,3.23%,0.00%,3.25%
035,https://www.instagram.com/p/DZW5eOnp40s/,lebonchoixbakery,"על שאלת העמית ""If I died, would you find someone new?"" העמיתה מנקה, מוזגת ומקלידה עם גופו של החבר ה""מת""",09.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,19282,538953,75,3.58%,0.01%,3.65%
036,https://www.instagram.com/p/DJhE4M6MbAz/,aiden_london,"תחת ""When you go to a restaurant without checking the prices and then you hear the next table laughing"" הסועד קופא בחשד",11.05.2025,פוב,צריכה,אירוניה,הלקוח,1460541,27464294,4749,5.32%,0.02%,5.40%
037,https://www.instagram.com/p/Cx0dmTRrTPi/,sofimanassyan,"הסועדת מטיפה ""You need to learn how to say no"", וכשנשאלת אם רוצה פרוסת עוגה אחת עונה ""I want two""",30.09.2023,אסתטיקת מזון,צריכה,אירוניה,הלקוח,730017,28450826,2474,2.57%,0.01%,2.61%
038,https://www.instagram.com/p/Da3Lo3kxRdG/,sweetbriarcafe,"תחת ""when the customer walks away after ordering"" העובדת רודפת ברחוב עם גלידה ביד כדי למסור אותה",16.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,98406,2683519,348,3.67%,0.01%,3.73%
039,https://www.instagram.com/p/Dadv_sWvf-D/,musclerootkavabar,"לקוח זועם דורש לדעת מי שתה את המשקה שלו, והצוות מעמיד פנים שאין לו מושג",06.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,42052,578006,90,7.28%,0.02%,7.35%
040,https://www.instagram.com/p/DV0GsnClIxm/,19grams.coffee,הצצה מאחורי הדלפק שבה הבריסטה מכינה מראש את ההזמנה תוך כדי שהלקוח עוד מזמין,13.03.2026,אסתטיקת מזון,ייעוץ,התנהגות ליצנית,המסעדה,46762,776966,97,6.02%,0.01%,6.08%
041,https://www.instagram.com/p/DZk1Vcusal0/,robeesz,"תחת ""Never give up"" הטבח מתעקש שוב ושוב על משימה שנכשלת, עד שהיא מצליחה בסוף",14.06.2026,וולוג משמרת,חשיפה,סלפסטיק,המקצוע,54379,674525,318,8.06%,0.05%,8.30%
042,https://www.instagram.com/p/CyvZYG3sv0G/,thewittybun,"בעוד הכיתוב ""Most people my age"" מראה זוג מתנשק ברקע, הכיתוב ""Me"" מראה אותה מרוכזת רק בבורגר",23.10.2023,מערכון עלילתי,צריכה,אירוניה,הלקוח,1763998,73349444,6197,2.40%,0.01%,2.45%
043,https://www.instagram.com/p/DXO_9z1DDJ8/,thealley.germany,"תחת ""POV: customer goes off the script"" לקוחה מודיעה שהחתול שלה מת, והקופאי עונה באוטומט ""Great"" ונתקע",17.04.2026,פוב,חשיפה,אי-הבנה,הצוות,62417,969195,113,6.44%,0.01%,6.50%
044,https://www.instagram.com/p/DZZkij1qB77/,cafe10coburg,"תחת ""When you're in a rush and a parent makes their kid try and order"" הבריסטה ממתין בסבלנות כבושה מול הילד המהסס",10.06.2026,פוב,חשיפה,אירוניה,הלקוח,56270,520461,82,10.81%,0.02%,10.89%
045,https://www.instagram.com/p/DY5NRuoB28u/,maestro_coffee_shop,"תחת ""POV: the customer knows your name but you only know them as cappuccino"" הבריסטה מנופפת חמות ללקוח הקבוע",28.05.2026,פוב,חשיפה,אירוניה,הצוות,14455,255417,16,5.66%,0.01%,5.69%
046,https://www.instagram.com/p/DZLmKKavo8z/,dayandgay,"תחת הכיתוב ""POV: right before a rush"" עובדי בית הקפה רוקדים ברוגע, עד שהעומס מגיע והרוגע הופך לצרחות ייאוש",04.06.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,14987,155444,22,9.64%,0.01%,9.71%
047,https://www.instagram.com/p/Dac8vtquqxP/,powerbowls.nyc,"עובד שמבין שהלקוח צדק שוקל בכיתוב בין ""זה היום הראשון שלי"", התפטרות או גזלייטינג ללקוח",06.07.2026,וולוג משמרת,חשיפה,אירוניה,הצוות,16496,289651,84,5.70%,0.03%,5.84%
048,https://www.instagram.com/p/Da9Cf7-NcXT/,jeffandmariasicecream,"לקוח מצביע על גלידה של אחר ואומר ""I'll have what he's having"", ומקבל בדיוק את אותה מנה מוגזמת",19.07.2026,מערכון עלילתי,צריכה,הפתעה,הלקוח,14196,227521,157,6.24%,0.07%,6.58%
049,https://www.instagram.com/p/DZdEcFbCJsn/,noirmallorca,"לקוחות מזמינים משקאות מורכבים ומסובכים, ובהזמנה פשוטה אחת כל הצוות קופא בהלם ובהתרגשות",11.06.2026,מערכון עלילתי,חשיפה,הפתעה,הלקוח,74802,1618464,185,4.62%,0.01%,4.68%
050,https://www.instagram.com/p/DYDas9Sz1nH/,athomecoffeeco,"שלושת הבריסטות מדגימים בסנכרון את שגרת הבוקר תחת הכיתוב ""Good vibes only""",07.05.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,123436,2015414,135,6.12%,0.01%,6.16%
051,https://www.instagram.com/p/DbgW-H8orQl/,jbsplace.sf,"תחת הכיתוב ""checking in with your team after a rush"" עמיתה מתגלה שרועה על רצפת המטבח עם מצקת על החזה כמו חלל",01.08.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,3982,74402,36,5.35%,0.05%,5.59%
052,https://www.instagram.com/p/DYqPaBDtFrv/,milkysnowdessertcafe,"תחת הכיתוב ""3 Ways To Attract Customers"" עובד מנקה, לוקח הפסקה ומרים כיסאות — ולקוח נכנס בדיוק בכל אחת מהן",22.05.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,91658,1424780,199,6.43%,0.01%,6.50%
053,https://www.instagram.com/p/DbbE6zzxjS1/,ju_dmy,"תחת ""POV: You're baking a test batch"" האופה בוהה בתנור במתח, מתפלל ומגיב בדרמה מוגזמת לתוצאה",30.07.2026,פוב,חשיפה,התנהגות ליצנית,המקצוע,12448,230001,282,5.41%,0.12%,6.03%
054,https://www.instagram.com/p/DbVgODcRezP/,cocobless.patisserie,"תחת ""Every Baker's nightmare"" קונדיטור אורז עוגות בקפידה והלקוח מטלטל את הקופסה לצדדים מול עיניו הקפואות",28.07.2026,מערכון עלילתי,חשיפה,סאטירה,הלקוח,980527,32798858,11430,2.99%,0.03%,3.16%
055,https://www.instagram.com/p/DXQhs3vSSmt/,jekyllandhyde.bar,"הברמן אומר ""That will be $11"", והלקוח שמוסיף ""Ohh wait, I have $1"" מפרק לו את חישוב העודף לגמרי",18.04.2026,מערכון עלילתי,חשיפה,אי-הבנה,הלקוח,36009,799137,154,4.51%,0.02%,4.60%
056,https://www.instagram.com/p/DZN4Prpy3E7/,thelocalon50th,"תחת ""When you're not actually mad at each other, it was just busy"" שני הברמנים עובדים בזעף אך מתפייסים בסוף",05.06.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,114751,2562079,357,4.48%,0.01%,4.55%
057,https://www.instagram.com/p/DbVtFiiRu0v/,coastlands_coffee,"תחת ""we stay in shape around here"" הבריסטות מדגימות אימון כוח עם שקי פולים וסירי חלב בין הזמנות",28.07.2026,וולוג משמרת,חשיפה,אירוניה,המקצוע,6267,126799,49,4.94%,0.04%,5.14%
058,https://www.instagram.com/p/DaLHeByNTts/,tostibudapest,"תחת ""GenZ Employees"" העובדת עונה לטלפון בשפה יומיומית ומקללת מול הלקוח בעודה מקבלת הזמנה",29.06.2026,מערכון עלילתי,חשיפה,סאטירה,הצוות,17423,781181,395,2.23%,0.05%,2.48%
059,https://www.instagram.com/p/DX11kRnOhTp/,5acres_nyc,"תחת ""service industry love language"" עמיתים מפנקים זה את זה: שפריץ, הורדת כוסות מהמדף וקיצוץ הבצל של החבר",02.05.2026,מערכון עלילתי,חשיפה,פרודיה,הצוות,163992,1673797,206,9.80%,0.01%,9.86%
060,https://www.instagram.com/p/DbWwULFxDSo/,poppycoxclt,"תחת ""When you didn't expect the lunch rush to be THAT busy"" מדפסת ההזמנות מתפוצצת ויורה פתקים על הצוות",28.07.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,7534,173054,77,4.35%,0.04%,4.58%
061,https://www.instagram.com/p/DZPXvAWjaGy/,goobne.ph,"תחת ""POV: customer is handsome"" שתי הקופאיות נמסות ומסתירות צחקוקים תוך כדי קבלת ההזמנה",06.06.2026,פוב,חשיפה,התנהגות ליצנית,הצוות,56761,1195121,278,4.75%,0.02%,4.87%
062,https://www.instagram.com/p/DbHPtpVTimy/,elpublico,"שני סועדים מתקוטטים ""I'll pay"" / ""No, I'll pay"" על החשבון, ובינתיים אוכלים זה מצלחתו של זה עד שנגמר",22.07.2026,מערכון עלילתי,צריכה,אירוניה,הלקוח,155963,2630522,356,5.93%,0.01%,6.00%
063,https://www.instagram.com/p/DYPoaVZNnv2/,lucahelp,"תחת ""The last table does not understand"" הצוות מטאטא, מנגב וכמעט מפנה כוסות מתחת לידיהן של שתי לקוחות שלא זזות",12.05.2026,מערכון עלילתי,חשיפה,אירוניה,הלקוח,198287,4390174,2337,4.52%,0.05%,4.78%
064,https://www.instagram.com/p/Da56qYIAKIs/,vileolasvegas,עובד סקרן מציץ ומצותת לשיחות הלקוחות ליד הדלפק ונתפס בכל פעם,17.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,459202,7974326,779,5.76%,0.01%,5.81%
065,https://www.instagram.com/p/DbE5n1Nsv2T/,akiraramen.waughchapel,"תחת ""POV: You're working on only 3 hours of sleep"" המלצרית מחזיקה סכין שבורה ואז מתמוטטת על הרצפה",22.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,5626,103255,10,5.45%,0.01%,5.50%
066,https://www.instagram.com/p/DaOai5PiuWI/,angeloswildomar_italian,"תחת ""POV: you survived the rush but one of us was in the kitchen"" המלצרים חוגגים והטבח מתגלה שרוע על הרצפה",30.06.2026,פוב,חשיפה,הפתעה,הצוות,11963,129623,2,9.23%,0.00%,9.24%
067,https://www.instagram.com/p/DbCC_bOT5ju/,nododonuts,"תחת ""The type of service our regulars receive at 8am"" המלצרית מגישה קינוח בגלגלון וסלטה אקרובטית",20.07.2026,מערכון עלילתי,חשיפה,סלפסטיק,המסעדה,2791,161182,65,1.73%,0.04%,1.93%
068,https://www.instagram.com/p/DagkUJ1uIRf/,thesilverspringhouse,"עמיתה מבקשת ""can you put this away for me?"" עם מיכל ענק, העובד עונה ""sure"" ומחביא אותו במקום אקראי",07.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,3260,91967,2,3.54%,0.00%,3.56%
069,https://www.instagram.com/p/DbfcwxKo1fm/,kfirarbiv,"מלצר מעביר למטבח תלונה על האוכל, והטבחית המזלזלת שעונה בעצבים מתגלה כילדה קטנה על הגריל",01.08.2026,מערכון עלילתי,חשיפה,פרודיה,הצוות,36436,1347634,451,2.70%,0.03%,2.87%
070,https://www.instagram.com/p/Das_lNMvqaX/,bellbakeshop,"הדרכת זילוף שבה ""A little more"" ו""A little less"" מסתיימים ב""Do you mind if I touch you?"" והמאמנת אוחזת בידה",12.07.2026,הדרכה / הדגמה,ייעוץ,אי-הבנה,הצוות,3426,150390,32,2.28%,0.02%,2.38%
071,https://www.instagram.com/p/DbTq36AD2jo/,nonna_westlakevillage,"מלצרית מבקשת מאורחת רשות לצלם ""לתוכן"", ואז פותחת: ""חמישה טיפים להתמודדות עם האורחים הכי מעצבנים""",27.07.2026,מערכון עלילתי,חשיפה,הפתעה,הלקוח,4140,298175,30,1.39%,0.01%,1.44%
072,https://www.instagram.com/p/DbEZNgrzXQm/,jigglytasty,"שלוש תגובות לבחירה על משקה שגוי: ""But you said iced"" מחייכת, ""we can remake it"" אדיבה ו-""No, YOU SAID ICE"" לוחמנית",21.07.2026,מערכון עלילתי,חשיפה,פרודיה,הצוות,98690,1743023,456,5.66%,0.03%,5.79%
073,https://www.instagram.com/p/DY7aRCNh-7x/,hattiescoffeehouse,"על השאלה ""where's the manager?"" הכיתוב ""with the social media girl"" חושף אותה מצטלמת על שולחן פיקניק",29.05.2026,מערכון עלילתי,חשיפה,אירוניה,הצוות,2650,117653,45,2.25%,0.04%,2.44%
074,https://www.instagram.com/p/DaSLXZyPT3m/,alienandcoco,"לקוח מבקש שוקו חם ומצהיר ""I'm allergic to honey"", ומתפתח דיאלוג אבסורדי על ""iced latte without chicken"" ו-""no chicken eggs""",02.07.2026,מערכון עלילתי,חשיפה,אי-הבנה,הלקוח,14890,474232,116,3.14%,0.02%,3.26%
075,https://www.instagram.com/p/DbNzhESO8jW/,wael__chaal,"תחת הכיתוב ""POV: the owner is around"" ברמן לחוץ מתבלבל בין כרטיס האשראי, המסוף והטלפון ומצמיד את המסוף לאוזן",25.07.2026,פוב,חשיפה,התנהגות ליצנית,הצוות,118716,1959578,317,6.06%,0.02%,6.14%
076,https://www.instagram.com/p/DYPzb-fJzZg/,neighboursrestaurant,"עובד מבקש מהבוס אוזניות כי ""זה עוזר להתרכז"", והסאונד חושף שהוא מאזין למדריך בסיסי להכנת המנות",12.05.2026,וולוג משמרת,חשיפה,אירוניה,הצוות,20684,391504,36,5.28%,0.01%,5.33%
077,https://www.instagram.com/p/Danor2quh6l/,gelu_omaha,"תחת ""We are always ready to sample"" העובד מגיש טעימה ללקוח וטועם בעצמו כמות גדולה בהרבה",10.07.2026,מערכון עלילתי,צריכה,התנהגות ליצנית,הצוות,6851,132252,14,5.18%,0.01%,5.23%
078,https://www.instagram.com/p/DZm0ePpo4eS/,mamgu_welshcakes,"תחת הכיתוב ""Enjoy your co-workers while you can"" עובדת חותכת חמאה והקולגה לצדה מתאדה באחת מהפריים",30.06.2026,מערכון עלילתי,חשיפה,הפתעה,הצוות,9779,204695,22,4.78%,0.01%,4.83%
079,https://www.instagram.com/p/Dbbyz3Rp6cx/,mikcafeto,"תחת הכיתוב ""Saying goodbye after our 8 hour paid play date"" שני עמיתים נפרדים בטקס מחוות ארוך ומתואם",31.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הצוות,60775,843345,139,7.21%,0.02%,7.29%
080,https://www.instagram.com/p/DWWi5KaCUpm/,jlpatisserieaz,"תחת ""pov: onboarding the new Gen Z employee"" המנהלת מסבירה תוך שהיא מחזיקה טלפון עם סרטון מעל ראשה",26.03.2026,פוב,חשיפה,סאטירה,הצוות,9631,221495,163,4.35%,0.07%,4.72%
081,https://www.instagram.com/p/DaaY1G0tapo/,dobro.topvegan.dubai,"העובד מצהיר ""It's extremely hot, no one is gonna show up today"", ותחת ""Our regulars"" נראים לקוחות חוצים מדבר כדי להגיע",05.07.2026,מערכון עלילתי,חשיפה,התנהגות ליצנית,הלקוח,3695,196270,47,1.88%,0.02%,2.00%
082,https://www.instagram.com/p/DbDZshUvfm1/,bybobbyau,"בית קפה עם שלט ""STOP STEALING OUR CAMPING CHAIRS"" מתעד לקוחה יושבת על כיסא שדה כשהצוות מגיב לביקורת בטלפון",21.07.2026,וולוג משמרת,חשיפה,אירוניה,הלקוח,248231,3704073,890,6.70%,0.02%,6.82%
083,https://www.instagram.com/p/DaQdOuKiJXl/,sachu_kanwal_01_,"תחת ""The rush just ended. Your next move is"" הטבח בוחר בין שתייה, ניקוי העמדה, ריצה לשירותים או להתחבא במקפיא",01.07.2026,פוב,חשיפה,התנהגות ליצנית,המקצוע,14047,475164,186,2.96%,0.04%,3.15%
084,https://www.instagram.com/p/DQ2ED-ZkpJe/,krayscoffee,"לקוחה מתעקשת שהזמינה קפה חם ולא קר, והבריסטה מנצחת בכך שהיא מציגה הקלטת וידאו של ההזמנה ""iced latte please""",09.11.2025,מערכון עלילתי,חשיפה,הפתעה,הלקוח,1526,106518,22,1.43%,0.02%,1.54%
085,https://www.instagram.com/p/DajblTzyFXP/,nataliehappydonutseureka707,"תחת ""POV: when your coworker goes on break and 10 customers walk in"" העובדת לבדה בדוכן הדונאטס נכנסת ללחץ מול התור",09.07.2026,פוב,חשיפה,התנהגות ליצנית,הצוות,139960,1711381,160,8.18%,0.01%,8.22%
086,https://www.instagram.com/p/DatS_aVBxw-/,ojedasdallas,"תחת הכיתוב ""POV: your short coworker asks for help"" עובדת נמוכה סוחבת מיכל רוטב ענק והעמית הגבוה אוטם בגאווה גביע זעיר",12.07.2026,פוב,חשיפה,הפתעה,הצוות,286847,5537448,979,5.18%,0.02%,5.27%
087,https://www.instagram.com/p/DZu2PU0J91F/,jlpatisserieaz,"תחת ""Trying to act nonchalant but my coworkers know better"" העובדת מגניבה קרואסון ונתפסת אוכלת אותו במשרד",18.06.2026,וולוג משמרת,חשיפה,התנהגות ליצנית,הצוות,155412,3967068,90,3.92%,0.00%,3.93%
088,https://www.instagram.com/p/DZSfNDHNwVO/,peki.bar,"על הטענה ""אתם רק מלצרים, כמה קשה זה כבר יכול להיות"" הזוג מתחלף לשוטרים, מגידי עתידות, בלשים וליצנים",07.06.2026,מערכון עלילתי,חשיפה,פרודיה,המקצוע,6417,206174,66,3.11%,0.03%,3.27%
